GradesID,StudentID,SemesterID,DateID,CourseID,CourseEnrollmentID,MaxGrade,MinGrade,GPAHours,GPA,Grade
,1,3,1,1,1,4,2,32,4,A
,1,3,1,3,1,4,2,32,3.5,B+
,1,1,3,4,2,4,2,32,3.56,A-
,1,1,3,2,2,4,2,32,3.4,B+
,2,3,1,1,1,4,2,32,3,B-
,2,3,1,3,1,4,2,32,3.2,B-
,2,1,3,4,2,4,2,32,4,A
,2,1,3,2,2,4,2,32,4,A
,3,3,1,1,1,4,2,32,3.6,A
,3,3,1,3,1,4,2,32,3.8,A-
,3,1,3,4,2,4,2,32,3.9,A
,3,1,3,2,2,4,2,32,3.5,B+
,4,3,1,1,1,4,2,32,3.87,A
,4,3,1,3,1,4,2,32,3,B-
,4,1,3,4,2,4,2,32,3.5,B+
,4,1,3,2,2,4,2,32,3.7,A-
,5,3,1,1,1,4,2,32,3.8,A
,5,3,1,3,1,4,2,32,3.75,A
,5,1,3,4,2,4,2,32,3.87,A
,5,1,3,2,2,4,2,32,4,A
